chr	windowStart	windowEnd	D	f_d	f_dM	d_f
NC_031965.2	3181774	3382068	0.724969	0.494710	0.270552	0.588120
NC_031965.2	3277719	3420519	0.533556	0.358804	0.184430	0.394468
NC_031965.2	3292626	3452086	0.489676	0.283068	0.146864	0.376021
NC_031965.2	3333925	3504046	0.474804	0.266451	0.148914	0.333063
NC_031965.2	3382074	3504615	0.315724	0.176735	0.105554	0.173699
NC_031965.2	3421068	3505343	0.355329	0.256750	0.162942	0.173224
NC_031965.2	3458787	3529211	0.379766	0.418046	0.273105	0.159473
NC_031965.2	3504054	3697801	0.367144	0.189241	0.127018	0.162856
NC_031965.2	3504627	3702122	0.168012	0.109569	0.068212	0.084977
NC_031965.2	3505376	3727727	0.255058	0.178424	0.110711	0.146522
NC_031965.2	3536156	3727895	0.218617	0.155539	0.098476	0.137128
NC_031965.2	3697993	3728048	0.200638	0.423237	0.202898	0.125151
NC_031965.2	3702136	3728719	0.261699	0.487155	0.239294	0.152273
NC_031965.2	3727735	3733104	0.115013	0.330181	0.107848	0.060937
NC_031965.2	3727899	3735843	0.089126	0.252701	0.078794	0.040174
NC_031965.2	3728053	3768172	0.083641	0.243725	0.083782	0.040815
NC_031965.2	3728787	3769219	0.080397	0.347968	0.116427	0.040050
NC_031965.2	3733143	3770618	0.089128	0.451123	0.212116	0.042613
NC_031965.2	3735855	3772812	0.119963	0.572668	0.336543	0.058528
NC_031965.2	3768184	3773466	0.107220	0.520387	0.316696	0.053529
NC_031965.2	3769237	3773739	0.112125	0.538928	0.300646	0.056569
NC_031965.2	3770632	3774178	0.107259	0.397202	0.224492	0.057342
NC_031965.2	3772848	3774505	0.021951	0.108507	0.057204	0.017307
NC_031965.2	3773467	3774852	-0.022076	-0.192733	-0.083347	-0.009757
NC_031965.2	3773756	3775566	-0.060396	-0.669378	-0.247766	-0.025039
NC_031965.2	3774185	3775904	-0.027944	-0.284295	-0.130590	-0.011558
NC_031965.2	3774522	3776239	-0.028752	-0.349504	-0.153677	-0.011803
NC_031965.2	3775040	3776713	0.039829	0.219265	0.120206	0.022205
NC_031965.2	3775567	3777023	0.092001	0.406188	0.238899	0.047323
NC_031965.2	3775905	3777440	0.088740	0.449211	0.258761	0.041654
NC_031965.2	3776248	3779653	0.128769	0.410851	0.229607	0.064411
NC_031965.2	3776723	3780041	0.065839	0.270384	0.141694	0.034174
NC_031965.2	3777070	3780560	0.034189	0.175942	0.091663	0.018774
NC_031965.2	3777461	3785360	0.030148	0.135215	0.070808	0.019065
NC_031965.2	3779661	3786193	-0.008948	-0.093312	-0.036746	-0.002501
NC_031965.2	3780048	3790583	-0.023524	-0.287859	-0.087412	-0.016024
NC_031965.2	3780681	3791955	-0.013475	-0.121182	-0.037841	-0.012986
NC_031965.2	3785369	3792799	0.010524	0.091301	0.029670	-0.001529
NC_031965.2	3786196	3794256	0.053685	0.322242	0.142038	0.019185
NC_031965.2	3790613	3794854	0.033001	0.201767	0.090642	0.009820
NC_031965.2	3791965	3795950	0.044338	0.292782	0.134154	0.016430
NC_031965.2	3792810	3805961	0.025935	0.178108	0.078844	0.007353
NC_031965.2	3794257	3810678	0.026079	0.171185	0.065465	0.007673
NC_031965.2	3794861	3841989	0.081715	0.401259	0.190639	0.043145
NC_031965.2	3796062	3853052	0.212846	0.422944	0.242121	0.118365
NC_031965.2	3805980	3854522	0.222266	0.360454	0.218614	0.123928
NC_031965.2	3810704	3855624	0.153729	0.290908	0.172054	0.078711
NC_031965.2	3842033	3856924	0.124992	0.252525	0.144302	0.063850
NC_031965.2	3853102	3857534	-0.014842	-0.078661	-0.038775	-0.010599
NC_031965.2	3854560	3858170	0.018128	0.172044	0.070396	0.005971
NC_031965.2	3855742	3875635	0.046228	0.326654	0.187617	0.023073
NC_031965.2	3856933	3876256	0.035197	0.354693	0.188094	0.015015
NC_031965.2	3857541	3876687	0.021719	0.228091	0.108845	0.009469
NC_031965.2	3858181	3877085	0.005049	0.062611	0.028221	0.000795
NC_031965.2	3875642	3877539	-0.007826	-0.136474	-0.049071	-0.004274
NC_031965.2	3876260	3881190	-0.014057	-0.190129	-0.075779	-0.005409
NC_031965.2	3876693	3881477	0.006976	0.087422	0.041853	0.007364
NC_031965.2	3877095	3881907	0.002447	0.022424	0.011110	0.005308
NC_031965.2	3877540	3882175	0.027095	0.163995	0.097924	0.019591
NC_031965.2	3881196	3882573	0.019296	0.106237	0.063621	0.016845
NC_031965.2	3881478	3883016	-0.014358	-0.066986	-0.038002	-0.003313
NC_031965.2	3881908	3883414	-0.015335	-0.060089	-0.035416	-0.006507
NC_031965.2	3882184	3883835	-0.050833	-0.224734	-0.114803	-0.026227
NC_031965.2	3882587	3932821	-0.053382	-0.227274	-0.107182	-0.026066
NC_031965.2	3883037	3972582	0.155969	0.201278	0.097264	0.094531
NC_031965.2	3883416	3985512	0.058418	0.084123	0.037984	0.037177
NC_031965.2	3883847	3992437	0.015369	0.020735	0.009067	-0.007508
NC_031965.2	3932823	4113536	0.248837	0.255996	0.129121	0.169915
NC_031965.2	3972594	4131980	0.178182	0.173800	0.098064	0.107463
NC_031965.2	3985522	4196853	0.400802	0.216588	0.139316	0.271154
NC_031965.2	3992439	4264470	0.763099	0.366801	0.258547	0.636981
NC_031965.2	4113539	4265940	0.618733	0.352209	0.243049	0.444372
NC_031965.2	4131982	4296852	0.549193	0.358133	0.260919	0.382875
NC_031965.2	4238471	4304049	0.539606	0.462888	0.342127	0.387992
NC_031965.2	4264519	4304413	0.326385	0.376249	0.279182	0.191048
NC_031965.2	4266062	4305093	0.220891	0.251526	0.202546	0.120441
NC_031965.2	4298847	4323262	0.219419	0.310714	0.178578	0.116642
NC_031965.2	4304084	4324809	0.129356	0.183838	0.097139	0.059398
NC_031965.2	4304424	4334115	0.262848	0.309268	0.160163	0.145918
NC_031965.2	4305231	4341563	0.283379	0.298987	0.173979	0.158365
NC_031965.2	4323435	4348456	0.252675	0.294807	0.199246	0.134706
NC_031965.2	4324823	4381232	0.305528	0.276017	0.190238	0.169779
NC_031965.2	4334498	4437956	0.318042	0.216732	0.149852	0.166282
NC_031965.2	4341567	4442670	0.412794	0.283893	0.180339	0.199719
NC_031965.2	4354017	4486048	0.431275	0.284966	0.160790	0.223760
NC_031965.2	4397349	4487158	0.366920	0.335645	0.178218	0.185306
NC_031965.2	4438271	4510537	0.300092	0.382520	0.180564	0.156033
NC_031965.2	4442683	4584825	0.458548	0.377869	0.201719	0.285849
NC_031965.2	4486049	4653268	0.528075	0.349529	0.197275	0.343999
NC_031965.2	4487165	4738319	0.567034	0.349537	0.180459	0.430240
NC_031965.2	4519243	4755482	0.587239	0.351119	0.189732	0.435488
NC_031965.2	4587573	4810209	0.580437	0.355566	0.192818	0.426219
NC_031965.2	4653269	4837167	0.573114	0.459236	0.235624	0.409327
NC_031965.2	4740517	4883865	0.585244	0.450818	0.246844	0.381156
NC_031965.2	4755493	4891713	0.548417	0.460673	0.235371	0.364585
NC_031965.2	4810466	4902536	0.251805	0.302625	0.128578	0.092029
NC_031965.2	4837173	4903119	0.080535	0.094479	0.045274	-0.014837
NC_031965.2	4883867	4912369	-0.112883	-0.214015	-0.081008	-0.104505
NC_031965.2	4891714	4955142	0.163325	0.185136	0.106247	0.036099
NC_031965.2	4902542	5003255	0.383236	0.309076	0.213586	0.210999
NC_031965.2	4903322	5004827	0.396262	0.333760	0.226519	0.253100
NC_031965.2	4912546	5039688	0.616939	0.385065	0.321222	0.423199
NC_031965.2	4955173	5067059	0.631692	0.339490	0.268144	0.470398
NC_031965.2	5003259	5159639	0.664309	0.287978	0.230773	0.530416
NC_031965.2	5013317	5201008	0.776856	0.324146	0.218508	0.674036
NC_031965.2	5043304	5209190	0.682946	0.355459	0.226228	0.563923
NC_031965.2	5067060	5256653	0.740655	0.369688	0.221331	0.618186
NC_031965.2	5159675	5280509	0.576408	0.361026	0.198988	0.436926
NC_031965.2	5201009	5313576	0.587131	0.359119	0.213183	0.434565
NC_031965.2	5210820	5321893	0.481290	0.215172	0.135952	0.302204
NC_031965.2	5256692	5325669	0.316559	0.161223	0.107711	0.173845
NC_031965.2	5285421	5379801	0.513722	0.246211	0.158282	0.313762
NC_031965.2	5313589	5469740	0.529084	0.222582	0.138361	0.338255
NC_031965.2	5321897	5473774	0.607159	0.412816	0.229786	0.426155
NC_031965.2	5325680	5475631	0.554659	0.415702	0.224683	0.360350
NC_031965.2	5382426	5499430	0.447835	0.406824	0.195142	0.269799
NC_031965.2	5469742	5512504	0.271051	0.595945	0.236606	0.140920
NC_031965.2	5473776	5562425	0.492934	0.339788	0.195463	0.294172
NC_031965.2	5475663	5598624	0.526273	0.250789	0.159501	0.323970
NC_031965.2	5501167	5601239	0.406437	0.208412	0.145522	0.249452
NC_031965.2	5515117	5638553	0.445615	0.196599	0.129422	0.277094
NC_031965.2	5564246	5722916	0.397576	0.214870	0.133956	0.261183
NC_031965.2	5598845	5768516	-0.116593	-0.077364	-0.042623	-0.081657
NC_031965.2	5601255	5823560	-0.151845	-0.096699	-0.051861	-0.128511
NC_031965.2	5638902	5836782	-0.024757	-0.017652	-0.009805	-0.022963
NC_031965.2	5723807	5837846	-0.155775	-0.124919	-0.068141	-0.133992
NC_031965.2	5771149	5860401	0.250700	0.195656	0.101495	0.208409
NC_031965.2	5824765	5888763	0.740383	0.636671	0.340479	0.566246
NC_031965.2	5836786	5917684	0.554063	0.593223	0.273363	0.368856
NC_031965.2	5837852	5918625	0.522047	0.582500	0.270211	0.343724
NC_031965.2	5860404	5921003	0.402582	0.602919	0.317563	0.233853
NC_031965.2	5888906	5960053	0.310859	0.527964	0.209048	0.171249
NC_031965.2	5917705	5974558	0.378895	0.483963	0.213148	0.223804
NC_031965.2	5918648	6017554	0.598451	0.570433	0.250307	0.445312
NC_031965.2	5921027	6045525	0.775130	0.658521	0.291381	0.690305
NC_031965.2	5960055	6080006	0.865052	0.654502	0.351419	0.806214
NC_031965.2	5975318	6111845	0.882657	0.673743	0.338726	0.849158
NC_031965.2	6018440	6133660	0.881919	0.661907	0.367802	0.797870
NC_031965.2	6045796	6174389	0.818005	0.622498	0.319062	0.705040
NC_031965.2	6081231	6213314	0.743538	0.535545	0.252492	0.601562
NC_031965.2	6113210	6266796	0.606430	0.338137	0.183112	0.474145
NC_031965.2	6133680	6267316	0.445161	0.208188	0.106040	0.338204
NC_031965.2	6174392	6345226	-0.165803	-0.024759	-0.018821	-0.094757
NC_031965.2	6213396	6401596	-0.496795	-0.089103	-0.064138	-0.322002
NC_031965.2	6266813	6481036	-0.293629	-0.052080	-0.036375	-0.186910
NC_031965.2	6269186	6504284	-0.260128	-0.048112	-0.032701	-0.152452
NC_031965.2	6346508	6504690	-0.175850	-0.068529	-0.038187	-0.106124
NC_031965.2	6401623	6505924	0.062129	0.041100	0.023656	0.030505
NC_031965.2	6483191	6517867	-0.033357	-0.045187	-0.023945	-0.037396
NC_031965.2	6504287	6526821	-0.024262	-0.059826	-0.026802	-0.030598
NC_031965.2	6504696	6545824	0.023839	0.036530	0.019544	-0.007349
NC_031965.2	6505933	6561235	-0.003254	-0.002460	-0.001476	-0.022184
NC_031965.2	6517868	6569611	0.109605	0.100530	0.058789	0.065461
NC_031965.2	6526842	6680276	-0.058854	-0.034416	-0.024060	-0.063572
NC_031965.2	6546519	6788451	-0.018154	-0.011505	-0.008447	-0.035235
NC_031965.2	6562051	6818303	0.233204	0.144591	0.103001	0.149570
NC_031965.2	6569621	6876315	0.299981	0.189037	0.107843	0.204208
NC_031965.2	6680285	6950971	0.571400	0.358734	0.149495	0.442822
NC_031965.2	6792317	7010069	0.671913	0.399640	0.182164	0.568446
NC_031965.2	6818395	7080309	0.684373	0.338040	0.165749	0.591610
NC_031965.2	6886859	7160479	0.767031	0.360805	0.199191	0.683599
NC_031965.2	6950974	7216757	0.790039	0.369028	0.244857	0.693228
NC_031965.2	7014849	7281183	0.817551	0.340193	0.213809	0.710965
NC_031965.2	7080915	7312777	0.779668	0.433495	0.261224	0.647732
NC_031965.2	7161595	7377790	0.767037	0.429603	0.242011	0.665788
NC_031965.2	7216759	7412357	0.796401	0.483733	0.278045	0.698791
NC_031965.2	7281655	7432675	0.827214	0.572759	0.321171	0.742561
NC_031965.2	7314962	7451899	0.794697	0.548893	0.292564	0.720927
NC_031965.2	7383848	7453541	0.133444	0.174378	0.077611	0.066990
NC_031965.2	7412379	7454057	-0.479162	-1.440545	-0.366587	-0.510788
NC_031965.2	7432834	7481673	-0.814784	-3.031968	-0.584581	-0.806438
NC_031965.2	7451900	7508942	-0.505834	-0.903859	-0.342372	-0.544796
NC_031965.2	7453547	7532213	-0.145218	-0.165739	-0.080994	-0.214834
NC_031965.2	7454065	7574336	0.380673	0.243815	0.148595	0.320126
NC_031965.2	7481957	7639727	0.460151	0.219028	0.147791	0.440125
NC_031965.2	7508974	7719619	0.284261	0.137623	0.083189	0.268818
NC_031965.2	7532979	7731317	0.126175	0.063588	0.038430	0.109771
NC_031965.2	7576569	7757863	0.028015	0.015927	0.009639	0.024684
NC_031965.2	7641162	7777491	0.449961	0.310568	0.183197	0.365898
NC_031965.2	7719626	7780540	0.465470	0.440967	0.251230	0.314871
NC_031965.2	7732203	7780837	0.373776	0.394679	0.194636	0.166889
NC_031965.2	7757868	7782616	0.161498	0.433032	0.126223	0.032144
NC_031965.2	7777560	7782978	-0.083749	-0.684812	-0.130792	-0.067030
NC_031965.2	7780563	7783983	-0.091924	-0.242010	-0.096004	-0.077374
NC_031965.2	7780847	7811922	0.074705	0.088461	0.048794	0.023605
NC_031965.2	7782620	7976708	0.422292	0.284566	0.170360	0.255692
NC_031965.2	7783013	8000998	0.495366	0.286148	0.172799	0.318782
NC_031965.2	7783992	8061760	0.692211	0.348481	0.198097	0.538178
NC_031965.2	7811936	8101967	0.754238	0.378777	0.222306	0.641516
NC_031965.2	7985062	8124649	0.675839	0.372576	0.196477	0.521509
NC_031965.2	8001011	8185892	0.733269	0.374885	0.191027	0.598243
NC_031965.2	8065327	8215650	0.665957	0.366474	0.213783	0.518920
NC_031965.2	8101997	8252837	0.678745	0.410920	0.237260	0.551587
NC_031965.2	8124653	8292207	0.671561	0.413998	0.273950	0.549196
NC_031965.2	8187490	8311603	0.502703	0.353329	0.232047	0.306733
NC_031965.2	8215668	8398712	0.510071	0.380339	0.241415	0.331723
NC_031965.2	8254870	8433475	0.444148	0.329167	0.202216	0.274943
NC_031965.2	8294986	8459195	0.358907	0.301937	0.164379	0.194867
NC_031965.2	8311613	8496909	0.581249	0.442706	0.278534	0.446759
NC_031965.2	8399537	8523152	0.650745	0.414942	0.264205	0.529013
NC_031965.2	8433483	8578081	0.546080	0.441257	0.269937	0.441109
NC_031965.2	8459218	8626493	0.703248	0.512104	0.301323	0.630341
NC_031965.2	8497095	8673894	0.744675	0.467895	0.288003	0.670731
NC_031965.2	8523293	8712011	0.701581	0.472104	0.281888	0.606120
NC_031965.2	8580800	8804317	0.733843	0.455956	0.268598	0.617312
NC_031965.2	8633181	8819562	0.627343	0.409195	0.255488	0.482549
NC_031965.2	8674967	8832502	0.421914	0.352684	0.195562	0.289556
NC_031965.2	8715467	8835362	0.245959	0.269111	0.142176	0.152759
NC_031965.2	8804318	8850891	0.124349	0.181580	0.106363	0.069992
NC_031965.2	8820152	8863621	-0.027431	-0.055775	-0.027903	-0.018838
NC_031965.2	8832507	8864326	0.044060	0.145087	0.081430	0.016383
NC_031965.2	8835364	8876833	0.073343	0.150561	0.102986	0.030941
NC_031965.2	8850902	8953245	0.063825	0.087770	0.057420	0.027442
NC_031965.2	8863671	8966295	0.082810	0.098995	0.070314	0.037085
NC_031965.2	8864353	8967582	0.051620	0.064050	0.042859	0.019997
NC_031965.2	8876923	9026715	-0.123246	-0.133237	-0.065341	-0.063691
NC_031965.2	8965259	9048941	-0.123870	-0.124962	-0.062532	-0.058381
NC_031965.2	8966318	9049206	-0.135445	-0.150053	-0.067756	-0.069025
NC_031965.2	8967587	9104742	-0.028722	-0.016480	-0.008992	-0.015295
NC_031965.2	9032034	9193858	0.203551	0.074034	0.045943	0.115451
NC_031965.2	9048944	9239432	0.188664	0.075929	0.044940	0.113111
NC_031965.2	9049216	9287767	0.269561	0.068945	0.040169	0.181306
NC_031965.2	9110067	9407531	0.347188	0.048150	0.027847	0.267737
NC_031965.2	9200883	9471742	0.508291	0.095382	0.054465	0.394482
NC_031965.2	9239488	9550249	0.769022	0.150137	0.095892	0.638749
NC_031965.2	9291945	9609368	0.686970	0.161993	0.102797	0.546395
NC_031965.2	9408951	9675822	0.699804	0.199456	0.128478	0.566916
NC_031965.2	9475086	9740990	0.523722	0.137281	0.087971	0.444566
NC_031965.2	9550313	9783769	0.284291	0.074902	0.044963	0.219057
NC_031965.2	9609869	9786305	0.129662	0.036423	0.022390	0.092905
NC_031965.2	9680519	9853437	0.077866	0.020434	0.013359	0.048040
NC_031965.2	9742345	9935189	-0.079524	-0.021891	-0.014525	-0.067864
NC_031965.2	9783890	10010322	-0.187413	-0.055133	-0.036692	-0.135362
NC_031965.2	9786309	10074609	-0.179355	-0.045153	-0.030532	-0.142575
NC_031965.2	9857353	10122633	-0.236613	-0.058117	-0.038649	-0.205313
NC_031965.2	9936509	10207007	0.138033	0.032585	0.022442	0.108593
NC_031965.2	10010330	10247327	0.317104	0.066566	0.046598	0.247753
NC_031965.2	10074766	10319506	0.421558	0.064401	0.048734	0.330991
NC_031965.2	10125780	10367003	0.390065	0.075834	0.056613	0.312033
NC_031965.2	10207606	10400754	-0.048305	-0.010118	-0.007372	-0.043803
NC_031965.2	10254955	10401151	-0.174099	-0.041294	-0.030015	-0.142808
NC_031965.2	10319662	10426640	-0.630975	-0.393091	-0.217120	-0.565098
NC_031965.2	10367014	10443744	-0.907519	-0.804146	-0.402628	-0.862141
NC_031965.2	10400763	10462213	-0.948217	-0.931336	-0.463853	-0.915528
NC_031965.2	10401157	10489756	-0.863182	-0.758992	-0.384388	-0.829304
NC_031965.2	10427217	10513597	-0.700780	-0.557563	-0.293995	-0.669031
NC_031965.2	10443776	10541293	-0.431927	-0.299489	-0.166604	-0.408842
NC_031965.2	10462218	10583831	-0.065715	-0.038948	-0.022795	-0.060067
NC_031965.2	10489910	10618773	-0.080340	-0.050204	-0.029673	-0.072733
NC_031965.2	10514386	10694754	-0.114281	-0.069675	-0.041171	-0.101397
NC_031965.2	10542524	10750485	-0.076510	-0.031060	-0.019555	-0.062084
NC_031965.2	10597244	10785217	-0.026657	-0.011177	-0.006878	-0.023051
NC_031965.2	10631163	10814723	0.239329	0.105234	0.069175	0.192944
NC_031965.2	10695300	10817510	0.361667	0.147575	0.102905	0.267360
NC_031965.2	10752700	10817923	0.494148	0.322884	0.237054	0.284947
NC_031965.2	10787240	10868711	0.208613	0.142691	0.095347	0.139074
NC_031965.2	10814724	10919905	-0.337118	-0.170051	-0.107777	-0.195884
NC_031965.2	10817511	10940189	0.281248	0.175712	0.100655	0.226705
NC_031965.2	10817927	11021825	0.305918	0.122456	0.071909	0.293938
NC_031965.2	10869477	11072424	0.379149	0.134122	0.082860	0.366292
NC_031965.2	10919907	11130963	0.723443	0.261206	0.160465	0.688656
NC_031965.2	10940403	11203369	0.251607	0.042164	0.029642	0.213509
NC_031965.2	11024733	11299281	0.379143	0.065938	0.046331	0.286806
NC_031965.2	11072430	11373654	0.629105	0.111631	0.072076	0.486151
NC_031965.2	11130966	11405644	0.707792	0.224300	0.137658	0.631468
NC_031965.2	11203382	11418075	0.872922	0.489271	0.278456	0.816231
NC_031965.2	11299731	11438493	0.859345	0.692038	0.405595	0.786927
NC_031965.2	11373659	11465051	0.804825	0.590199	0.390459	0.702184
NC_031965.2	11406858	11495603	0.777621	0.487261	0.347054	0.639790
NC_031965.2	11418586	11550583	0.481368	0.205247	0.166022	0.350864
NC_031965.2	11438666	11608638	0.073518	0.018960	0.014716	0.051000
NC_031965.2	11473521	11694362	0.364137	0.133552	0.092104	0.289726
NC_031965.2	11495614	11750682	0.438768	0.169023	0.115194	0.360082
NC_031965.2	11550588	11817258	0.468427	0.152486	0.098206	0.370234
NC_031965.2	11608789	11869264	0.402098	0.143450	0.087462	0.333158
NC_031965.2	11702277	11912554	-0.513614	-0.213423	-0.121381	-0.479663
NC_031965.2	11750958	11951305	-0.613741	-0.272814	-0.158533	-0.594636
NC_031965.2	11817914	11990500	-0.540795	-0.261922	-0.150425	-0.529377
NC_031965.2	11879210	12023259	-0.117639	-0.062413	-0.036226	-0.116258
NC_031965.2	11912574	12043377	0.272805	0.134143	0.081928	0.268564
NC_031965.2	11953947	12086072	-0.018999	-0.011855	-0.006457	-0.018133
NC_031965.2	11992127	12104415	-0.174809	-0.103109	-0.058571	-0.152209
NC_031965.2	12023280	12145051	-0.321622	-0.182071	-0.108129	-0.268578
NC_031965.2	12045274	12204728	-0.457311	-0.223337	-0.134761	-0.376896
NC_031965.2	12086505	12249408	-0.115434	-0.042068	-0.027915	-0.084259
NC_031965.2	12104435	12354174	0.232216	0.062985	0.044819	0.196851
NC_031965.2	12145351	12389484	-0.173728	-0.035881	-0.024888	-0.121279
NC_031965.2	12204740	12464494	0.106772	0.021884	0.015017	0.070810
NC_031965.2	12259509	12490110	0.105803	0.025078	0.017417	0.058962
NC_031965.2	12357447	12494565	-0.129031	-0.083071	-0.046635	-0.078716
NC_031965.2	12389487	12494699	-0.083805	-0.054831	-0.033942	-0.053507
NC_031965.2	12473162	12544115	-0.244063	-0.134726	-0.077453	-0.154346
NC_031965.2	12490120	12580991	-0.358139	-0.183213	-0.104990	-0.248112
NC_031965.2	12494575	12603592	-0.235494	-0.103635	-0.056829	-0.152865
NC_031965.2	12494705	12628548	-0.196688	-0.085181	-0.047744	-0.126806
